sensor1	sensor2	sensor3	sensor4	
18.0	13.1	10.6	-1.7	
20.5	22.9	18.0	-9.1	
10.6	37.7	10.6	3.2	
3.2	18.0	8.2	20.5	
8.2	15.5	13.1	18.0	
-9.1	20.5	13.1	3.2	
8.2	42.6	22.9	-6.6	
-1.7	42.6	20.5	8.2	
0.8	50.0	18.0	-1.7	
-1.7	50.0	13.1	10.6	
-6.6	40.1	15.5	-1.7	
-1.7	37.7	0.8	5.7	
-16.4	32.8	0.8	15.5	
8.2	35.2	3.2	10.6	
-9.1	40.1	13.1	0.8	
-4.1	42.6	13.1	13.1	
18.0	40.1	5.7	8.2	
13.1	32.8	8.2	20.5	
13.1	22.9	5.7	25.4	
20.5	45.1	13.1	13.1	
18.0	40.1	8.2	22.9	
8.2	57.4	8.2	10.6	
-4.1	52.4	-6.6	32.8	
0.8	67.2	0.8	22.9	
3.2	69.7	3.2	-28.7	
-4.1	40.1	-1.7	3.2	
-4.1	42.6	-9.1	5.7	
3.2	15.5	-6.6	-4.1	
3.2	20.5	3.2	8.2	
18.0	32.8	8.2	-4.1	
13.1	20.5	-6.6	-6.6	
15.5	22.9	-18.9	5.7	
18.0	27.8	-1.7	13.1	
20.5	30.3	-11.5	5.7	
20.5	37.7	-11.5	-9.1	
18.0	35.2	-14.0	8.2	
22.9	37.7	-6.6	-14.0	
13.1	35.2	-1.7	8.2	
15.5	42.6	-9.1	3.2	
18.0	32.8	-6.6	5.7	
25.4	35.2	-4.1	3.2	
8.2	32.8	-6.6	-4.1	
15.5	25.4	0.8	3.2	
15.5	27.8	0.8	15.5	
13.1	25.4	0.8	15.5	
20.5	37.7	-1.7	5.7	
10.6	32.8	-6.6	13.1	
15.5	22.9	-11.5	18.0	
27.8	18.0	-1.7	15.5	
25.4	20.5	3.2	15.5	
30.3	8.2	0.8	37.7	
25.4	3.2	-1.7	18.0	
27.8	15.5	-4.1	45.1	
18.0	13.1	-6.6	20.5	
20.5	-1.7	3.2	54.9	
