sensor1	sensor5	sensor7	sensor8	
15.5	180.4	-50.9	32.8	
8.2	207.4	-159.1	99.2	
15.5	232.0	-277.2	143.5	
22.9	244.3	-365.8	77.0	
20.5	246.8	-456.8	32.8	
20.5	227.1	-550.3	0.8	
20.5	207.4	-641.3	-21.4	
18.0	175.4	-712.6	-55.8	
18.0	141.0	-764.3	-36.1	
32.8	111.5	-813.5	18.0	
10.6	82.0	-872.5	52.4	
10.6	52.4	-911.9	52.4	
18.0	15.5	-968.5	42.6	
22.9	5.7	-985.7	13.1	
22.9	0.8	-1002.9	8.2	
18.0	-1.7	-1034.9	13.1	
13.1	15.5	-1044.7	30.3	
13.1	22.9	-1057.0	27.8	
22.9	20.5	-1064.4	32.8	
20.5	3.2	-1071.8	42.6	
32.8	5.7	-1081.6	47.5	
30.3	32.8	-1091.5	72.1	
25.4	52.4	-1108.7	69.7	
22.9	57.4	-1125.9	79.5	
18.0	69.7	-1133.3	84.4	
35.2	106.6	-1111.1	94.3	
13.1	121.3	-1157.9	91.8	
25.4	160.7	-1182.5	106.6	
22.9	148.4	-1197.2	91.8	
15.5	91.8	-1216.9	96.7	
20.5	30.3	-1226.8	109.0	
18.0	-31.2	-1221.8	123.8	
18.0	-68.1	-1226.8	116.4	
13.1	-122.2	-1226.8	133.6	
22.9	-137.0	-1216.9	123.8	
18.0	-151.7	-1207.1	101.6	
13.1	-161.6	-1202.2	86.9	
20.5	-171.4	-1194.8	104.1	
13.1	-169.0	-1167.7	101.6	
22.9	-171.4	-1162.8	96.7	
20.5	-171.4	-1162.8	113.9	
20.5	-169.0	-1145.6	106.6	
15.5	-164.0	-1111.1	109.0	
37.7	-161.6	-1086.5	116.4	
15.5	-141.9	-1071.8	111.5	
13.1	-149.3	-1044.7	113.9	
13.1	-127.1	-1010.3	126.2	
22.9	-129.6	-970.9	111.5	
20.5	-119.8	-924.2	116.4	
18.0	-127.1	-865.1	113.9	
13.1	-107.5	-811.0	109.0	
18.0	-114.8	-729.8	111.5	
32.8	-109.9	-675.7	101.6	
15.5	-102.5	-601.9	104.1	
13.1	-92.7	-530.6	104.1	
22.9	-92.7	-449.4	86.9	
18.0	-75.5	-378.1	89.3	
22.9	-70.6	-296.9	96.7	
15.5	-63.2	-198.5	86.9	
5.7	-53.3	-137.0	86.9	
22.9	-46.0	-53.3	82.0	
8.2	-46.0	35.2	59.8	
5.7	-31.2	118.9	69.7	
3.2	-23.8	187.7	64.7	
18.0	-16.4	254.2	72.1	
8.2	-9.1	332.9	62.3	
0.8	0.8	389.5	54.9	
8.2	8.2	436.2	50.0	
13.1	13.1	460.8	50.0	
15.5	35.2	490.3	52.4	
22.9	40.1	522.3	40.1	
8.2	52.4	534.6	37.7	
3.2	64.7	551.8	37.7	
-14.0	67.2	564.1	42.6	
-4.1	67.2	586.3	32.8	
5.7	62.3	583.8	47.5	
0.8	62.3	578.9	42.6	
5.7	-4.1	586.3	25.4	
0.8	5.7	586.3	25.4	
10.6	22.9	581.3	30.3	
22.9	32.8	588.7	27.8	
22.9	64.7	583.8	32.8	
15.5	84.4	588.7	45.1	
-6.6	96.7	576.4	30.3	
-16.4	99.2	571.5	40.1	
-36.1	109.0	561.7	50.0	
-16.4	121.3	559.2	40.1	
3.2	136.1	556.7	40.1	
5.7	145.9	551.8	35.2	
27.8	173.0	539.5	40.1	
42.6	187.7	529.7	25.4	
27.8	182.8	512.5	37.7	
45.1	187.7	497.7	37.7	
59.8	205.0	463.3	37.7	
84.4	236.9	446.0	59.8	
77.0	254.2	433.7	40.1	
57.4	283.7	416.5	37.7	
-1.7	281.2	409.1	-14.0	
-1.7	286.1	389.5	-65.6	
-1.7	293.5	372.2	-46.0	
-18.9	310.7	337.8	-16.4	
-33.7	293.5	330.4	-4.1	
-28.7	288.6	323.0	37.7	
-50.9	264.0	315.7	25.4	
-53.3	264.0	303.4	32.8	
-43.5	246.8	298.4	5.7	
-4.1	200.0	286.1	-14.0	
-14.0	158.2	293.5	-14.0	
0.8	118.9	286.1	13.1	
30.3	72.1	271.4	84.4	
50.0	40.1	278.8	52.4	
59.8	-21.4	271.4	42.6	
15.5	-53.3	266.5	47.5	
8.2	-87.8	254.2	69.7	
0.8	-112.4	246.8	57.4	
5.7	-161.6	234.5	27.8	
-4.1	-166.5	232.0	40.1	
-6.6	-183.7	234.5	54.9	
8.2	-200.9	219.7	64.7	
0.8	-225.5	224.6	84.4	
20.5	-232.9	222.2	89.3	
18.0	-250.1	212.3	50.0	
18.0	-272.3	202.5	45.1	
18.0	-289.5	214.8	40.1	
8.2	-292.0	212.3	25.4	
10.6	-323.9	205.0	59.8	
5.7	-328.9	222.2	67.2	
3.2	-358.4	217.3	59.8	
3.2	-365.8	197.6	62.3	
3.2	-383.0	187.7	67.2	
13.1	-412.5	187.7	74.6	
18.0	-454.3	205.0	74.6	
18.0	-471.5	222.2	72.1	
15.5	-518.3	227.1	77.0	
15.5	-569.9	205.0	79.5	
20.5	-661.0	197.6	82.0	
20.5	-722.5	187.7	79.5	
25.4	-707.7	177.9	67.2	
20.5	-670.8	175.4	72.1	
32.8	-641.3	163.1	72.1	
32.8	-599.5	158.2	84.4	
35.2	-535.5	131.2	72.1	
22.9	-483.8	131.2	72.1	
42.6	-429.7	123.8	79.5	
37.7	-363.3	109.0	64.7	
52.4	-306.7	101.6	64.7	
40.1	-245.2	89.3	64.7	
37.7	-181.3	77.0	69.7	
45.1	-122.2	79.5	72.1	
54.9	-75.5	72.1	74.6	
42.6	-14.0	67.2	64.7	
40.1	62.3	59.8	59.8	
40.1	116.4	42.6	69.7	
35.2	133.6	35.2	72.1	
42.6	133.6	18.0	67.2	
37.7	148.4	8.2	59.8	
35.2	141.0	-6.6	62.3	
35.2	150.8	-4.1	67.2	
32.8	143.5	-23.8	59.8	
25.4	116.4	-18.9	57.4	
18.0	106.6	-48.4	64.7	
27.8	99.2	-46.0	64.7	
22.9	96.7	-58.3	54.9	
22.9	106.6	-68.1	59.8	
15.5	106.6	-60.7	52.4	
5.7	118.9	-80.4	62.3	
-4.1	126.2	-77.9	59.8	
-9.1	133.6	-87.8	52.4	
-16.4	141.0	-87.8	45.1	
-9.1	141.0	-97.6	50.0	
-4.1	145.9	-90.2	57.4	
-14.0	141.0	-95.2	50.0	
-21.4	109.0	-97.6	57.4	
-28.7	89.3	-92.7	54.9	
-48.4	84.4	-80.4	52.4	
-33.7	67.2	-92.7	45.1	
-28.7	40.1	-85.3	50.0	
-31.2	8.2	-77.9	42.6	
-21.4	-16.4	-82.9	32.8	
-21.4	-21.4	-73.0	37.7	
-21.4	-43.5	-70.6	50.0	
-18.9	-46.0	-63.2	52.4	
-31.2	-38.6	-77.9	54.9	
-21.4	-41.0	-73.0	57.4	
-21.4	-38.6	-60.7	59.8	
-23.8	-23.8	-77.9	57.4	
-18.9	-18.9	-68.1	52.4	
-9.1	-11.5	-87.8	45.1	
-6.6	-4.1	-80.4	45.1	
-16.4	3.2	-80.4	42.6	
0.8	5.7	-75.5	30.3	
8.2	0.8	-77.9	27.8	
15.5	8.2	-68.1	30.3	
42.6	18.0	-65.6	37.7	
35.2	15.5	-68.1	22.9	
22.9	10.6	-55.8	27.8	
25.4	15.5	-58.3	50.0	
40.1	18.0	-46.0	40.1	
42.6	18.0	-43.5	45.1	
22.9	10.6	-36.1	42.6	
0.8	8.2	-28.7	40.1	
-6.6	10.6	-18.9	50.0	
5.7	0.8	-11.5	45.1	
3.2	0.8	-9.1	47.5	
0.8	-1.7	-16.4	42.6	
13.1	-4.1	-9.1	40.1	
10.6	-1.7	5.7	18.0	
8.2	-11.5	18.0	30.3	
15.5	-4.1	15.5	27.8	
5.7	-4.1	13.1	32.8	
5.7	-6.6	30.3	22.9	
15.5	-16.4	40.1	18.0	
3.2	-9.1	47.5	30.3	
10.6	-18.9	57.4	25.4	
5.7	-11.5	69.7	5.7	
10.6	-4.1	72.1	5.7	
5.7	0.8	82.0	8.2	
5.7	-1.7	86.9	13.1	
